Facility, Hour Type, DAY, 1, 2, 3, 4, 5 ,6 ,7 ,8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24
Student Recreation Center,Normal,1,0,0,0,0,0,0,0,0,0,0,0,2,82,46,56,83,90,82,46,42,18,0,0,0,
Student Recreation Center,Normal,2,0,0,0,0,0,2,49,37,38,44,69,100,101,83,96,132,131,191,143,112,101,75,47,8,
Student Recreation Center,Normal,3,0,0,0,0,0,8,71,34,34,63,60,63,107,69,68,123,153,233,161,106,99,80,49,9,
Student Recreation Center,Normal,4,0,0,0,0,0,4,51,43,39,43,68,102,120,77,95,113,116,176,123,92,92,68,38,7,
Student Recreation Center,Normal,5,0,0,0,0,0,5,67,31,33,49,53,54,90,66,63,112,134,192,127,76,72,58,33,6,
Student Recreation Center,Normal,6,0,0,0,0,0,3,35,25,29,34,53,92,109,68,80,104,109,119,70,45,14,0,0,0,
Student Recreation Center,Normal,7,0,0,0,0,0,0,0,0,1,47,54,43,51,40,49,58,71,28,0,0,0,0,0,0,
Student Recreation Center,Final,1,0,0,0,0,0,0,0,0,0,0,0,2,112,50,55,138,100,141,66,62,4,0,0,0,
Student Recreation Center,Final,2,0,0,0,0,0,2,32,27,47,57,60,79,88,66,62,95,112,121,98,79,36,0,0,0,
Student Recreation Center,Final,3,0,0,0,0,0,4,25,22,29,52,59,65,103,59,58,104,107,180,67,86,32,0,0,0,
Student Recreation Center,Final,4,0,0,0,0,0,8,18,27,28,32,42,71,71,43,55,71,87,124,82,67,22,0,0,0,
Student Recreation Center,Final,5,0,0,0,0,0,3,19,19,27,40,29,64,67,48,49,43,103,127,70,60,27,0,0,0,
Student Recreation Center,Final,6,0,0,0,0,0,3,18,17,30,37,51,40,65,75,54,68,87,90,55,46,20,0,0,0,
Student Recreation Center,Final,7,0,0,0,0,0,0,0,0,2,66,72,56,71,69,105,119,147,95,0,0,0,0,0,0,
Student Recreation Center,Break,1,0,0,0,0,0,0,0,0,0,0,0,3,43,21,14,22,26,11,0,0,0,0,0,0,
Student Recreation Center,Break,2,0,0,0,0,0,0,0,0,0,0,0,65,72,36,33,41,88,117,42,0,0,0,0,0,
Student Recreation Center,Break,3,0,0,0,0,0,0,0,0,0,0,11,56,64,41,36,54,59,114,41,0,0,0,0,0,
Student Recreation Center,Break,4,0,0,0,0,0,0,0,0,0,0,9,50,52,31,27,23,59,138,40,0,0,0,0,0,
Student Recreation Center,Break,5,0,0,0,0,0,0,0,0,0,0,7,46,44,29,32,51,67,118,47,0,0,0,0,0,
Student Recreation Center,Break,6,0,0,0,0,0,0,0,0,0,0,1,60,44,21,25,40,41,87,27,0,0,0,0,0,
Student Recreation Center,Break,7,0,0,0,0,0,0,0,0,0,0,0,2,34,22,14,15,48,16,0,0,0,0,0,0,
Student Recreation Center,Hours,1,0,0,0,0,0,0,0,0,0,0,0,3,42,31,28,28,37,32,24,25,6,0,0,0,
Student Recreation Center,Hours,2,0,0,0,0,0,4,35,16,19,23,23,60,50,39,34,50,70,145,76,53,19,0,0,0,
Student Recreation Center,Hours,3,0,0,0,0,0,1,37,16,22,20,22,51,60,37,35,39,61,137,73,58,19,0,0,0,
Student Recreation Center,Hours,4,0,0,0,0,0,6,36,16,18,26,25,58,53,41,36,44,62,137,67,53,17,0,0,0,
Student Recreation Center,Hours,5,0,0,0,0,0,4,25,15,19,20,22,48,46,36,33,42,52,115,62,49,16,0,0,0,
Student Recreation Center,Hours,6,0,0,0,0,0,3,23,15,20,23,21,53,49,36,32,42,43,60,36,28,9,0,0,0,
Student Recreation Center,Hours,7,0,0,0,0,0,0,0,0,0,19,21,23,33,30,30,33,46,20,0,0,0,0,0,0,
Rams Head Recreation Center,Normal,1,0,0,0,0,0,0,0,0,0,0,0,1,63,29,38,45,49,60,78,53,29,0,0,0,
Rams Head Recreation Center,Normal,2,0,0,0,0,0,3,21,12,17,20,25,38,42,39,53,64,79,108,77,88,69,64,48,12,
Rams Head Recreation Center,Normal,3,0,0,0,0,0,0,23,27,19,28,31,34,40,34,42,70,88,102,77,78,75,73,52,12,
Rams Head Recreation Center,Normal,4,0,0,0,0,0,1,26,14,23,23,26,36,37,40,48,63,70,101,65,74,62,73,52,12,
Rams Head Recreation Center,Normal,5,0,0,0,0,0,1,21,25,19,28,30,32,34,31,38,78,79,93,76,64,65,68,42,12,
Rams Head Recreation Center,Normal,6,0,0,0,0,0,0,19,13,18,21,28,38,46,43,59,76,83,86,51,41,41,36,11,0,
Rams Head Recreation Center,Normal,7,0,0,0,0,0,0,0,0,0,0,0,4,68,42,46,51,53,63,59,44,20,0,0,0,
Rams Head Recreation Center,Final,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rams Head Recreation Center,Final,2,0,0,0,0,0,0,14,9,18,44,37,43,51,34,34,53,61,68,51,61,27,0,0,0,
Rams Head Recreation Center,Final,3,0,0,0,0,0,1,12,7,22,16,40,43,44,44,39,50,78,85,51,67,28,0,0,0,
Rams Head Recreation Center,Final,4,0,0,0,0,0,2,9,14,20,22,37,50,25,22,35,35,69,57,48,47,23,0,0,0,
Rams Head Recreation Center,Final,5,0,0,0,0,0,0,12,5,11,16,17,22,26,23,25,42,60,55,44,35,20,0,0,0,
Rams Head Recreation Center,Final,6,0,0,0,0,0,0,11,7,14,21,39,24,31,31,26,45,47,52,49,32,24,0,0,0,
Rams Head Recreation Center,Final,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rams Head Recreation Center,Break,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rams Head Recreation Center,Break,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rams Head Recreation Center,Break,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rams Head Recreation Center,Break,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rams Head Recreation Center,Break,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rams Head Recreation Center,Break,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rams Head Recreation Center,Break,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rams Head Recreation Center,Hours,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rams Head Recreation Center,Hours,2,0,0,0,0,0,0,0,0,0,0,1,18,16,11,8,18,28,62,30,6,0,0,0,0,
Rams Head Recreation Center,Hours,3,0,0,0,0,0,0,0,0,0,0,0,17,15,13,8,19,38,61,36,13,0,0,0,0,
Rams Head Recreation Center,Hours,4,0,0,0,0,0,0,0,0,0,0,0,18,18,12,9,17,22,39,30,10,0,0,0,0,
Rams Head Recreation Center,Hours,5,0,0,0,0,0,0,0,0,0,0,1,16,13,11,8,32,33,41,29,10,0,0,0,0,
Rams Head Recreation Center,Hours,6,0,0,0,0,0,0,0,0,0,0,0,15,12,12,8,14,16,28,15,3,0,0,0,0,
Rams Head Recreation Center,Hours,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fetzer Hall,Normal,1,0,0,0,0,0,0,0,0,0,0,0,0,13,11,20,18,18,14,8,6,1,0,0,0,
Fetzer Hall,Normal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,50,57,57,25,5,0,
Fetzer Hall,Normal,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,56,58,60,45,28,6,1,
Fetzer Hall,Normal,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,57,54,44,53,21,3,0,
Fetzer Hall,Normal,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,52,62,46,22,6,1,
Fetzer Hall,Normal,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,25,17,10,0,0,0,
Fetzer Hall,Normal,7,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,5,4,2,0,0,0,0,0,0,
Fetzer Hall,Final,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,8,10,4,0,0,0,0,
Fetzer Hall,Final,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,5,0,0,0,0,
Fetzer Hall,Final,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,20,24,5,0,0,0,
Fetzer Hall,Final,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,9,13,7,3,0,0,0,
Fetzer Hall,Final,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,19,5,3,0,0,0,
Fetzer Hall,Final,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,7,1,0,0,0,
Fetzer Hall,Final,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,
Fetzer Hall,Break,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,8,1,0,0,0,0,0,0,0,
Fetzer Hall,Break,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fetzer Hall,Break,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,6,0,0,0,0,0,
Fetzer Hall,Break,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,2,0,0,0,0,0,
Fetzer Hall,Break,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,0,0,0,0,0,0,
Fetzer Hall,Break,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Fetzer Hall,Break,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,3,1,0,0,0,0,0,0,
Fetzer Hall,Hours,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,6,6,4,4,2,1,0,0,0,0,
Fetzer Hall,Hours,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,5,0,0,0,0,
Fetzer Hall,Hours,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,4,2,0,0,0,
Fetzer Hall,Hours,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,4,0,0,0,0,
Fetzer Hall,Hours,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,3,0,0,0,0,
Fetzer Hall,Hours,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,2,0,0,0,0,
Fetzer Hall,Hours,7,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,3,2,0,0,0,0,0,0,
Bowman Gray Memorial Pool,Normal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,20,11,7,3,0,0,0,0,0,
Bowman Gray Memorial Pool,Normal,2,0,0,0,0,0,0,0,0,0,0,0,6,7,7,0,0,22,16,7,2,2,0,0,0,
Bowman Gray Memorial Pool,Normal,3,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,4,27,23,10,12,7,1,0,0,
Bowman Gray Memorial Pool,Normal,4,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,19,20,19,11,5,0,0,0,
Bowman Gray Memorial Pool,Normal,5,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,5,24,25,7,8,3,0,0,0,
Bowman Gray Memorial Pool,Normal,6,0,0,0,0,0,0,0,0,0,0,0,2,19,15,6,10,17,29,15,2,0,0,0,0,
Bowman Gray Memorial Pool,Normal,7,0,0,0,0,0,0,0,0,0,0,0,1,10,17,27,30,10,0,0,0,0,0,0,0,
Bowman Gray Memorial Pool,Final,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bowman Gray Memorial Pool,Final,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bowman Gray Memorial Pool,Final,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bowman Gray Memorial Pool,Final,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bowman Gray Memorial Pool,Final,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bowman Gray Memorial Pool,Final,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bowman Gray Memorial Pool,Final,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bowman Gray Memorial Pool,Break,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,3,0,0,0,0,0,0,0,
Bowman Gray Memorial Pool,Break,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bowman Gray Memorial Pool,Break,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bowman Gray Memorial Pool,Break,4,0,0,0,0,0,0,0,0,0,0,1,10,5,10,0,0,12,27,2,0,0,0,0,0,
Bowman Gray Memorial Pool,Break,5,0,0,0,0,0,0,0,0,0,0,0,10,12,3,0,1,18,26,6,0,0,0,0,0,
Bowman Gray Memorial Pool,Break,6,0,0,0,0,0,0,0,0,0,0,0,8,10,3,0,0,14,23,3,0,0,0,0,0,
Bowman Gray Memorial Pool,Break,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,12,1,0,0,0,0,0,0,0,
Bowman Gray Memorial Pool,Hours,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,16,16,16,10,0,0,0,0,0,
Bowman Gray Memorial Pool,Hours,2,0,0,0,0,0,0,6,4,0,0,4,8,9,8,6,6,10,21,13,4,0,0,0,0,
Bowman Gray Memorial Pool,Hours,3,0,0,0,0,0,0,5,6,0,0,1,8,7,6,7,10,11,20,2,0,0,0,0,0,
Bowman Gray Memorial Pool,Hours,4,0,0,0,0,0,0,4,7,0,0,2,10,11,13,10,11,18,28,13,3,0,0,0,0,
Bowman Gray Memorial Pool,Hours,5,0,0,0,0,0,0,5,5,0,0,4,10,11,11,9,12,14,25,12,4,0,0,0,0,
Bowman Gray Memorial Pool,Hours,6,0,0,0,0,0,0,6,6,0,0,2,11,10,11,11,14,12,16,10,1,0,0,0,0,
Bowman Gray Memorial Pool,Hours,7,0,0,0,0,0,0,0,0,0,0,1,7,10,10,10,12,10,14,11,7,0,0,0,0,
Woollen Gym,Normal,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,5,4,4,3,1,0,0,0,
Woollen Gym,Normal,2,0,0,0,0,0,0,0,0,0,0,2,7,1,1,3,7,8,14,10,6,7,2,1,0,
Woollen Gym,Normal,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7,19,18,15,16,9,0,0,
Woollen Gym,Normal,4,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,1,3,5,9,4,6,2,0,
Woollen Gym,Normal,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,6,2,1,0,0,
Woollen Gym,Normal,6,0,0,0,0,0,0,0,0,0,0,1,3,2,1,4,6,10,13,2,0,0,0,0,0,
Woollen Gym,Normal,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,
Woollen Gym,Final,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Woollen Gym,Final,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Woollen Gym,Final,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Woollen Gym,Final,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
Woollen Gym,Final,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,
Woollen Gym,Final,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,
Woollen Gym,Final,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Woollen Gym,Break,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Woollen Gym,Break,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,
Woollen Gym,Break,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,
Woollen Gym,Break,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Woollen Gym,Break,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Woollen Gym,Break,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Woollen Gym,Break,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Woollen Gym,Hours,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,
Woollen Gym,Hours,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Woollen Gym,Hours,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Woollen Gym,Hours,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,
Woollen Gym,Hours,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
Woollen Gym,Hours,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,
Woollen Gym,Hours,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,
Kessing Outdoor Pool,Normal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,11,15,15,6,0,0,0,0,0,
Kessing Outdoor Pool,Normal,2,0,0,0,0,0,0,5,3,0,0,0,1,20,7,0,0,13,13,8,15,9,0,0,0,
Kessing Outdoor Pool,Normal,3,0,0,0,0,0,0,10,4,0,0,0,0,22,7,0,2,12,12,6,12,11,0,0,0,
Kessing Outdoor Pool,Normal,4,0,0,0,0,0,0,10,4,0,0,0,0,22,8,0,0,11,13,6,15,9,0,0,0,
Kessing Outdoor Pool,Normal,5,0,0,0,0,0,0,6,4,0,0,0,1,19,7,0,2,13,15,15,12,9,1,0,0,
Kessing Outdoor Pool,Normal,6,0,0,0,0,0,0,7,5,0,0,0,1,12,8,5,8,11,13,6,1,0,0,0,0,
Kessing Outdoor Pool,Normal,7,0,0,0,0,0,0,0,0,0,0,0,1,5,6,7,9,5,0,0,0,0,0,0,0,
Kessing Outdoor Pool,Final,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,25,0,0,0,0,0,0,0,0,
Kessing Outdoor Pool,Final,2,0,0,0,0,0,0,0,0,0,0,0,24,15,7,0,0,19,2,0,0,0,0,0,0,
Kessing Outdoor Pool,Final,3,0,0,0,0,0,0,0,0,0,0,0,18,12,5,0,4,24,12,0,0,0,0,0,0,
Kessing Outdoor Pool,Final,4,0,0,0,0,0,0,0,0,0,0,0,18,15,11,0,3,26,20,3,0,0,0,0,0,
Kessing Outdoor Pool,Final,5,0,0,0,0,0,0,0,0,0,0,0,11,15,6,0,2,19,8,1,0,0,0,0,0,
Kessing Outdoor Pool,Final,6,0,0,0,0,0,0,0,0,0,0,0,14,11,7,0,2,15,17,1,0,0,0,0,0,
Kessing Outdoor Pool,Final,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kessing Outdoor Pool,Break,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kessing Outdoor Pool,Break,2,0,0,0,0,0,0,0,0,0,0,0,10,9,13,0,2,14,27,3,0,0,0,0,0,
Kessing Outdoor Pool,Break,3,0,0,0,0,0,0,0,0,0,0,0,12,10,7,0,3,9,22,1,0,0,0,0,0,
Kessing Outdoor Pool,Break,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kessing Outdoor Pool,Break,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kessing Outdoor Pool,Break,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kessing Outdoor Pool,Break,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kessing Outdoor Pool,Hours,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,2,5,0,0,0,0,0,
Kessing Outdoor Pool,Hours,2,0,0,0,0,0,0,2,3,0,0,5,4,9,4,5,3,5,10,8,3,0,0,0,0,
Kessing Outdoor Pool,Hours,3,0,0,0,0,0,0,2,4,0,0,3,5,5,6,7,4,7,18,8,3,0,0,0,0,
Kessing Outdoor Pool,Hours,4,0,0,0,0,0,0,3,3,0,0,2,7,8,7,5,6,7,19,9,4,0,0,0,0,
Kessing Outdoor Pool,Hours,5,0,0,0,0,0,0,3,4,0,0,3,6,7,5,4,8,7,16,6,2,0,0,0,0,
Kessing Outdoor Pool,Hours,6,0,0,0,0,0,0,2,2,0,0,2,3,6,3,1,3,7,11,2,2,0,0,0,0,
Kessing Outdoor Pool,Hours,7,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,7,7,7,3,0,0,0,0,0,
